ID,Reason
92,ArrDelay > threshold
227,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
331,DepDelay > threshold
356,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
451,DepDelay > threshold
468,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
514,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
649,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
679,DepDelay > threshold
912,ArrDelay > threshold
975,DepDelay > threshold
1034,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1038,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1039,DepDelay > threshold
1143,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1152,DepDelay > threshold
1183,DepDelay > threshold
1208,"DepDelay > threshold, ArrDelay > threshold"
1220,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1228,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1248,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1251,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1261,ArrDelay > threshold
1279,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1288,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1317,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1329,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1366,DepDelay > threshold
1369,DepDelay > threshold
1408,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1409,"DepDelay > threshold, ArrDelay > threshold"
1411,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1424,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1430,"DepDelay > threshold, ArrDelay > threshold"
1432,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1436,DepDelay > threshold
1448,"DepDelay > threshold, ArrDelay > threshold"
1478,ArrDelay > threshold
1479,"DepDelay > threshold, ArrDelay > threshold"
1482,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1483,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1521,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1536,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1546,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1562,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1597,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1689,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1711,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1720,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1723,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1725,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1736,ArrDelay > threshold
1764,"DepDelay > threshold, ArrDelay > threshold"
1767,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
1779,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1806,"DepDelay > threshold, ArrDelay > threshold"
1807,DepDelay > threshold
1839,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1841,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1871,ArrDelay > threshold
1943,"DepDelay > threshold, ArrDelay > threshold"
1963,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
1977,DepDelay > threshold
2007,"DepDelay > threshold, ArrDelay > threshold"
2042,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2073,"DepDelay > threshold, ArrDelay > threshold"
2074,"DepDelay > threshold, ArrDelay > threshold"
2192,"DepDelay > threshold, ArrDelay > threshold, NASDelay > threshold"
2235,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2236,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2274,"DepDelay > threshold, ArrDelay > threshold"
2341,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2375,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2428,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2493,"DepDelay > threshold, ArrDelay > threshold"
2631,DepDelay > threshold
2677,"DepDelay > threshold, ArrDelay > threshold, WeatherDelay > threshold"
2690,"DepDelay > threshold, ArrDelay > threshold, CarrierDelay > threshold"
2701,"DepDelay > threshold, ArrDelay > threshold"
