ID,LATITUDE,LONGITUDE,ELEVATION,2018_MB,2019_MB,2020_MB,2021_MB,2022_MB,2023_MB,2024_MB,Total_Size_MB
ACL000BARA9,17.591,-61.821,5.0,4.0,4.0,4.0,4.0,4.0,0.08,,
ACM00078861,17.1167,-61.7833,10.0,,,,,,,,
ACU55-00189,18.6,-63.47,10.0,,,,,,,,
ACU55-00190,18.6,-63.47,12.0,,,,,,,,
ACU55-00191,18.6,-63.47,14.0,,,,,,,,
ACU55-00192,18.6,-63.47,16.0,,,,,,,,
ACU55-00193,18.6,-63.47,9.0,,,,,,,,
ACW00011647,17.1333,-61.7833,19.2,5.0,5.0,5.0,5.0,5.0,5.0,2.0,32.0
AEI0000OMAA,24.433,54.6511,26.8,5.0,5.0,5.0,5.0,5.0,5.0,2.0,32.0
AEI0000OMAB,23.6167,53.3833,94.0,,,,,,,,
AEI0000OMAD,24.4283,54.4581,4.9,5.0,5.0,5.0,4.0,5.0,4.0,2.0,30.0
AEI0000OMAH,24.074,52.4636,15.2,0.027,4.0,0.013,,,,,
AEI0000OMAJ,24.1874,52.614,13.1,0.023,4.0,0.013,,,,,
AEI0000OMAL,24.2617,55.6092,264.9,5.0,5.0,5.0,5.0,5.0,5.0,2.0,32.0
AEI0000OMAM,24.2482,54.5477,23.2,0.056,4.0,0.013,,,,,
AEI0000OMAS,25.1462,52.8737,3.7,,0.006,,,,,,
AEI0000OMAW,24.5279,54.9733,27.1,0.156,4.0,0.011,,,,,
AEI0000OMAZ,24.8615,53.0778,4.3,,,,,,,,
AEI0000OMDB,25.255,55.3643,10.4,5.0,5.0,5.0,5.0,5.0,5.0,2.0,32.0
AEI0000OMDL,24.5099,52.3352,25.0,0.008,4.0,0.013,0.031,0.071,,,
AEI0000OMDM,25.0268,55.3662,50.3,0.104,4.0,0.013,,,,,
AEI0000OMFJ,25.1122,56.324,46.3,5.0,5.0,7.0,9.0,9.0,9.0,4.0,48.0
AEI0000OMLW,23.65,53.82,115.0,0.079,4.0,0.013,0.059,0.136,,,
AEI0000OMQS,22.7764,55.0633,88.6,,3.0,0.013,,,,,
AEI0000OMSJ,25.3286,55.5172,33.8,5.0,5.0,5.0,5.0,5.0,5.0,2.0,32.0
AEI0000OMSN,25.2168,54.2338,7.0,0.005,4.0,0.013,,,,,
AEM00040449,25.35,55.383,5.0,,,,,,,,
AEM00041226,23.6333,53.6333,130.0,,,,,,,,
AEU041184-1,25.62,55.93,31.0,,,,,,,,
AEU041244-1,24.23,55.78,299.0,,,,,,,,
AFA00409120,36.3,68.0,900.0,,,,,,,,
AFA00409133,36.6667,68.9,448.1,,,,,,,,
AFA00409151,36.733,69.55,804.0,,,,,,,,
AFA00409240,37.2,67.733,304.0,,,,,,,,
AFA00409323,35.267,69.467,1945.0,,,,,,,,
AFA00409343,35.21,71.52,1042.0,,,,,,,,
AFA00409390,34.783,63.417,1280.0,,,,,,,,
AFA00409473,34.4,68.8833,2240.0,,,,,,,,
AFA00409543,34.2667,70.2,1214.6,,,,,,,,
AFA00409584,71.0833,34.9167,891.8,,,,,,,,
AFA00409585,34.983,70.9,1020.0,,,,,,,,
AFA00409661,33.883,67.95,3130.0,,,,,,,,
AFA00409705,33.3667,69.4167,2019.9,,,,,,,,
AFA00409706,33.8,69.8167,1951.9,,,,,,,,
AFA00409713,33.35,69.7333,1383.2,,,,,,,,
AFA00409731,32.233,62.967,724.0,,,,,,,,
AFA00409739,32.133,63.433,840.0,,,,,,,,
AFA00409763,31.65,64.96,916.0,,,,,,,,
AFA00409765,32.4,64.7,1110.0,,,,,,,,
AFA00409775,32.9333,65.5667,1261.9,,,,,,,,
AFA00409781,31.5,64.333,787.0,,,0.247,0.096,,,,
AFA00409793,31.967,67.05,1902.0,,,,,,,,
AFA00409794,31.8,66.3333,1249.7,,,,,,,,
AFA00409803,33.1167,68.0333,2126.0,,,,,,,,
AFA00409813,32.6333,68.2667,2001.9,,,,,,,,
AFA00409814,32.9,68.5,2141.2,,,,,,,,
AFA00409843,33.05,69.5,2132.0,,,,,,,,
AFA00409844,32.933,69.45,1814.0,,,,,,,,
AFA00409903,31.8667,65.85,1136.6,,,,,,,,
AFA00409904,30.9833,66.35,1191.2,,,,,,,,
AFA00409905,31.5833,65.4333,961.9,,,,,,,,
AFA00409951,30.283,62.033,550.0,,,,,,,,
AFA00717640,31.483,65.833,1002.0,,,8.0,,,,,
AFI0000OABD,34.3,67.85,2975.0,,,,,,,,
AFI0000OABG,36.1,68.65,550.0,,,,,,,,
AFI0000OADF,35.9167,67.2833,1350.0,,,,,,,,
AFI0000OADZ,38.4333,70.8,1320.0,,,,,,,,
AFI0000OAEM,36.7,71.5667,2620.0,,,,,,,,
AFI0000OAFR,32.3667,62.1833,700.0,,,,,,,,
AFI0000OAFZ,37.1167,70.5167,1200.0,,,,,,,,
AFI0000OAGA,34.3167,70.7667,510.0,,,,,,,,
AFI0000OAGL,32.6167,63.6667,1375.0,,,,,,,,
AFI0000OAHJ,34.5833,68.1,3400.0,0.004,,,,,,,
AFI0000OAHR,34.21,62.2283,977.2,5.0,7.0,6.0,2.0,,,,
AFI0000OAIX,34.9464,69.265,1483.8,5.0,6.0,6.0,2.0,,,,
AFI0000OAJL,34.3998,70.4986,566.9,5.0,5.0,4.0,0.12,,,,
AFI0000OAJS,35.1333,69.25,1630.0,,,0.004,,,,,
AFI0000OAKN,31.5058,65.8478,1007.1,5.0,7.0,8.0,,,,,
AFI0000OALN,34.65,70.2167,770.0,,,,,,,,
AFI0000OAMS,36.7069,67.2097,391.4,6.0,7.0,8.0,2.0,,,,
AFI0000OAPG,34.5833,68.9833,2114.0,,,,,,,,
AFI0000OAPJ,34.3833,67.0333,2710.0,,,,,,,,
AFI0000OAQN,35.0,63.1167,914.0,,,,,0.004,,,
AFI0000OAQQ,37.4167,66.0833,262.0,,,,,,,,
AFI0000OASB,34.5833,69.75,1020.0,,,,,,,,
AFI0000OASD,33.3913,62.261,1150.0,,,,,,,,
AFM00038930,36.9,68.0,319.0,,,,,,,,
AFM00038946,37.8,70.2,1283.0,,,,,,,,
AFM00038957,36.7,71.6,2524.0,,,1.0,1.0,1.0,1.0,0.713,
AFM00040903,37.083,69.433,480.0,,,,,,,,
AFM00040905,37.5667,71.5,2265.0,,,,,,,,
AFM00040908,36.6667,65.7167,360.0,,,,,,,,
AFM00040913,36.6667,68.9167,433.0,0.475,0.403,0.249,0.145,,,,
AFM00040916,37.2167,67.4167,300.0,,,,,,,,
AFM00040921,35.2333,62.2833,680.0,,,,,,,,
AFM00040922,35.9333,64.7667,815.0,,,,,,,,
AFM00040923,35.5833,63.3167,470.0,,,,,,,,
AFM00040925,35.6667,64.2667,1300.0,,,,,,,,
AFM00040930,35.3167,69.0167,3366.0,0.496,0.449,0.379,0.158,,,,
AFM00040931,35.3,69.0667,3172.0,,,,,,,,
AFM00040935,34.65,61.5833,800.0,,,,,,,,
AFM00040940,34.3667,63.15,1298.0,,,,,,,,
AFM00040949,34.6333,69.05,1905.0,,,,,,,,
AFM00040950,34.1,69.05,1935.0,,,,,,,,
AFM00040976,32.167,65.1,1000.0,,,,,,,,
AFM00040977,32.6167,65.8667,1350.0,,,,,,,,
AFM00040980,32.8333,67.7833,2000.0,,0.004,,,,,,
AFM00040984,32.9167,69.1333,2262.0,,,,,,,,
AFM00040996,30.4333,63.3,590.0,,,,,0.004,,,
AFW00000472,43.0667,74.4667,637.0,10.0,10.0,10.0,10.0,10.0,9.0,4.0,63.0
AGA00604850,35.767,-0.8,104.0,,,,,,,,
AGA00605050,35.717,-0.717,111.0,,,,,,,,
AGA00606080,28.133,6.833,387.0,,,,,,,,
AGA00749269,32.1,6.45,136.0,,,,,,,,
AGA00749273,36.133,6.617,770.0,,,,,,,,
AGA00749276,36.133,7.817,932.0,,,,,,,,
AGA00749277,36.083,5.8,923.0,,,,,,,,
AGA00749278,35.683,0.183,100.0,,,,,,,,
AGA00749282,36.117,6.35,754.0,,,,,,,,
AGI0000DAAB,36.5036,2.8142,163.1,,,,,,0.004,,
AGI0000DAAF,26.9667,1.0833,309.0,,,,,,,,
AGI0000DAAK,36.5458,2.8761,102.1,,,,,,,,
AGI0000DAAP,26.7235,8.6227,541.9,4.0,5.0,5.0,4.0,4.0,4.0,2.0,28.0
AGI0000DAAQ,35.5254,2.8787,649.8,,,,,,,,
AGI0000DAAS,36.1781,5.3245,1050.0,2.0,4.0,5.0,5.0,5.0,4.0,2.0,
AGI0000DAAV,36.7951,5.8736,11.0,2.0,4.0,5.0,5.0,5.0,4.0,2.0,
AGI0000DABJ,36.8,5.8833,10.1,0.011,0.008,,,,,,
AGI0000DABP,36.9333,6.95,7.0,0.998,1.001,0.996,0.999,0.996,0.986,0.465,
AGI0000DABS,35.4316,8.1207,811.1,2.0,4.0,5.0,5.0,5.0,4.0,2.0,
AGI0000DABT,35.7521,6.3086,822.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,
AGI0000DAEF,28.447,7.5524,480.1,0.004,0.843,0.982,0.978,0.977,0.963,0.196,
AGI0000DAFH,32.9304,3.3115,774.2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,
AGI0000DAMH,29.2333,6.4833,259.0,,,,,,,,
AGI0000DAOB,35.3411,1.4631,989.1,2.0,4.0,5.0,5.0,4.0,4.0,2.0,
AGI0000DAOH,34.82,-1.77,426.0,0.959,0.955,0.963,0.963,0.983,0.975,0.465,
AGI0000DAOL,35.5424,-0.5323,111.9,3.0,4.0,4.0,4.0,4.0,4.0,2.0,
AGI0000DAOM,35.3833,0.1333,492.0,,,,,,,,
