WeatherCondition,Count
RA,15748620
BR,13984039
BR:1,8325852
SN,7426179
-RA:02,4035373
FG,3069381
HZ,2894693
-SN:03,2833905
DZ,2166956
TS,1909364
SHRA,1525700
FU,1233601
RA:02,1076453
FG:2,977788
HZ:7,965950
VCTS,593951
+RA:02,505323
SHSN,487181
-DZ:01,396439
DU,318112
UP:09,278166
FZFG:2,266212
DZ:01,156791
SN:03,125166
BLSN,120338
DRSN,96307
FZRA,81089
SG,51588
FU:3,50319
IC,47622
FZDZ,44849
+SN:03,40675
-FZRA:02,39565
BLSN:03,37584
-SHRA:02,36203
PL,35202
SHRASN,33318
BCFG:2,17793
-SHSN:03,16119
+DZ:01,15319
SH,12827
SQ,12305
-FZDZ:01,10824
FZRA:02,9414
MIFG:2,9188
-PL:06,6097
SQ:2,6064
PL:06,5349
SHRA:02,3793
VCFG:2,3089
BLDU:5,2973
FZDZ:01,1884
DRSN:03,1781
GR:07,1391
+SHRA:02,1384
BL,1216
-UP:09,870
PRFG:2,715
+FZDZ:01,713
GS:08,700
FZ,658
FC,576
HAIL,574
TS-HAIL,572
GS,400
DU:5,387
VCSH,298
+PL:06,224
VCBLDU:5,197
+FZRA:02,184
IC:05,172
SHSN:03,170
+UP:09,150
-SG:04,149
FC:3,119
-SHPL:06,115
TS+HAIL,111
PO:1,109
+FC:3,98
-GS:08,93
+GR:07,92
+SHSN:03,62
VCPO:1,61
SG:04,52
DS:5,37
VCSHSN:03,37
-GR:07,30
MIBR:1,30
GR,29
SA:6,26
BLSA:6,25
+GS:08,23
VA:4,21
VCSHRA:02,20
-FZFG:2,15
-TSRA:02,13
BC,12
DR,12
MI,10
VCBLSA:6,8
VCHZ:7,8
+DS:5,7
-SHGS:08,7
FZBR:1,6
SS:4,6
-BLSN:03,5
-BR:1,5
-FU:3,4
-HZ:7,3
PRBR:1,3
VCBLSN:03,3
VCFC:3,3
+BLSN:03,2
+FU:3,2
BCBR:1,2
SHGS:08,2
SHPL:06,2
+FZFG:2,1
-DRSN:03,1
-FZBR:1,1
DRDU:5,1
DRSA:6,1
TSRA:02,1
VCDU:5,1
VCRA:02,1
VCSG:04,1
VCSN:03,1
