Object,URL,Last_Modified,Timestamp,Size,Page
LCD_ACL000BARA9_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_ACL000BARA9_2023.csv,2 months ago,2024/8/10 8:18,80 KB,1
LCD_ACW00011647_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_ACW00011647_2023.csv,2 months ago,2024/8/10 8:18,5 MB,1
LCD_AEI0000OMAA_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AEI0000OMAA_2023.csv,2 months ago,2024/8/10 8:16,5 MB,1
LCD_AEI0000OMAD_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AEI0000OMAD_2023.csv,2 months ago,2024/8/10 8:18,4 MB,1
LCD_AEI0000OMAL_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AEI0000OMAL_2023.csv,2 months ago,2024/8/10 8:18,5 MB,1
LCD_AEI0000OMDB_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AEI0000OMDB_2023.csv,2 months ago,2024/8/10 8:16,5 MB,1
LCD_AEI0000OMFJ_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AEI0000OMFJ_2023.csv,2 months ago,2024/8/10 8:18,9 MB,1
LCD_AEI0000OMSJ_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AEI0000OMSJ_2023.csv,2 months ago,2024/8/10 8:17,5 MB,1
LCD_AFM00038957_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AFM00038957_2023.csv,2 months ago,2024/8/10 8:18,1 MB,1
LCD_AFW00000472_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AFW00000472_2023.csv,2 months ago,2024/8/10 8:17,9 MB,1
LCD_AGI0000DAAB_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DAAB_2023.csv,2 months ago,2024/8/10 8:18,4 KB,1
LCD_AGI0000DAAP_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DAAP_2023.csv,2 months ago,2024/8/10 8:16,4 MB,1
LCD_AGI0000DAAS_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DAAS_2023.csv,2 months ago,2024/8/10 8:18,4 MB,1
LCD_AGI0000DAAV_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DAAV_2023.csv,2 months ago,2024/8/10 8:18,4 MB,1
LCD_AGI0000DABP_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DABP_2023.csv,2 months ago,2024/8/10 8:16,986 KB,1
LCD_AGI0000DABS_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DABS_2023.csv,2 months ago,2024/8/10 8:16,4 MB,1
LCD_AGI0000DABT_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DABT_2023.csv,2 months ago,2024/8/10 8:17,4 MB,1
LCD_AGI0000DAEF_2023.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2023/LCD_AGI0000DAEF_2023.csv,2 months ago,2024/8/10 8:18,963 KB,1
