Airport,Count,Latitude,Longitude,Altitude,daylight_saving_offset,standard_offset,Tz database timezone,Country,City,Station_ID,Distance_km,2018_MB,2019_MB,2020_MB,2021_MB,2022_MB,2023_MB,2024_MB
EWR,1790873,40.69250107,-74.16870117,18,-4,-5,America/New_York,United States,Newark,USW00014734,1.0781081328477824,9.0,8.0,8.0,8.0,8.0,8.0,4.0
PVD,213177,41.732601,-71.420403,55,-4,-5,America/New_York,United States,Providence,USW00014765,1.507221322195467,9.0,9.0,9.0,9.0,9.0,9.0,4.0
ORD,4206712,41.9786,-87.9048,672,-5,-6,America/Chicago,United States,Chicago,USW00094846,3.0171801075158857,9.0,9.0,8.0,8.0,8.0,8.0,5.0
LFT,61246,30.20529938,-91.98760223,42,-5,-6,America/Chicago,United States,Lafayette,USW00013976,0.7625735043652453,8.0,8.0,8.0,8.0,7.0,7.0,3.0
IAH,2064868,29.9843998,-95.34140015,97,-5,-6,America/Chicago,United States,Houston,USW00012960,1.8721120569255842,8.0,8.0,8.0,8.0,7.0,7.0,4.0
GPT,53731,30.40730095,-89.07009888,28,-5,-6,America/Chicago,United States,Gulfport,USW00093874,1.1628618851660062,8.0,7.0,8.0,8.0,7.0,7.0,3.0
TUL,218452,36.19839859,-95.88809967,677,-5,-6,America/Chicago,United States,Tulsa,USW00013968,0.8816381248242163,9.0,9.0,8.0,8.0,8.0,8.0,4.0
GSP,196172,34.89569855,-82.21890259,964,-4,-5,America/New_York,United States,Greenville,USW00003870,1.3774072459397708,10.0,10.0,10.0,10.0,10.0,10.0,5.0
MOB,71641,30.69120026,-88.24279785,219,-5,-6,America/Chicago,United States,Mobile,USW00013894,1.335409762667144,10.0,10.0,10.0,10.0,10.0,10.0,5.0
TYS,227062,35.81100082,-83.9940033,981,-4,-5,America/New_York,United States,Knoxville,USW00013891,1.0817056071645852,8.0,8.0,8.0,8.0,8.0,8.0,0.13
HSV,129718,34.6371994,-86.77510071,629,-5,-6,America/Chicago,United States,Huntsville,USW00003856,1.2728453830404556,9.0,9.0,9.0,10.0,9.0,9.0,5.0
LIT,173376,34.72940063,-92.22429657,262,-5,-6,America/Chicago,United States,Little Rock,USW00013963,1.0815002895766204,8.0,8.0,8.0,8.0,8.0,8.0,3.0
CRP,70145,27.77039909,-97.50119781,44,-5,-6,America/Chicago,United States,Corpus Christi,USW00012924,1.802641912701822,9.0,9.0,9.0,10.0,9.0,9.0,5.0
DSM,207137,41.5340004,-93.6631012,958,-5,-6,America/Chicago,United States,Des Moines,USW00014933,0.8347000982230818,9.0,9.0,9.0,9.0,9.0,9.0,4.0
BTV,121047,44.47190094,-73.15329742,335,-4,-5,America/New_York,United States,Burlington,USW00014742,0.4784920418049993,10.0,10.0,10.0,10.0,10.0,10.0,5.0
ATL,4474978,33.6367,-84.428101,1026,-4,-5,America/New_York,United States,Atlanta,USW00013874,1.5211678264149262,8.0,8.0,8.0,8.0,8.0,8.0,4.0
CRW,53618,38.37310028,-81.59320068,981,-4,-5,America/New_York,United States,Charleston,USW00013866,0.7229823911894011,9.0,8.0,8.0,8.0,8.0,8.0,4.0
LEX,131441,38.03649902,-84.60590363,979,-4,-5,America/New_York,United States,Lexington KY,USW00093820,0.5621894722606352,9.0,8.0,9.0,8.0,8.0,8.0,4.0
BUF,301665,42.94049835,-78.73220062,728,-4,-5,America/New_York,United States,Buffalo,USW00014733,1.002992220585152,11.0,11.0,10.0,10.0,11.0,10.0,5.0
BNA,1092929,36.12450027,-86.67819977,599,-5,-6,America/Chicago,United States,Nashville,USW00013897,1.7814067054201363,11.0,10.0,10.0,10.0,10.0,10.0,4.0
MSP,1749982,44.882,-93.221802,841,-5,-6,America/Chicago,United States,Minneapolis,USW00014922,0.842324651988735,9.0,10.0,25.0,28.0,24.0,9.0,5.0
LGA,1894826,40.77719879,-73.87259674,21,-4,-5,America/New_York,United States,New York,USW00014732,0.6947080907519635,10.0,9.0,9.0,9.0,9.0,9.0,4.0
RIC,311015,37.50519943,-77.31970215,167,-4,-5,America/New_York,United States,Richmond,USW00013740,0.7884951711194027,7.0,7.0,8.0,7.0,7.0,7.0,0.123
CLE,559997,41.4117012,-81.84980011,791,-4,-5,America/New_York,United States,Cleveland,USW00014820,0.8710869374044959,10.0,10.0,10.0,10.0,10.0,10.0,4.0
DTW,1871596,42.21239853,-83.35340118,645,-4,-5,America/New_York,United States,Detroit,USW00094847,2.775860711742981,11.0,11.0,10.0,10.0,10.0,11.0,5.0
HPN,138768,41.06700134,-73.70760345,439,-4,-5,America/New_York,United States,White Plains,USW00094745,0.5973419485457933,7.0,7.0,7.0,7.0,7.0,7.0,3.0
BHM,226250,33.56290054,-86.75350189,650,-5,-6,America/Chicago,United States,Birmingham,USW00013876,0.8443048069297168,8.0,8.0,8.0,8.0,7.0,7.0,3.0
JAN,108272,32.31119919,-90.07589722,346,-5,-6,America/Chicago,United States,Jackson,USW00003940,0.9595528371478796,8.0,8.0,8.0,8.0,8.0,7.0,4.0
SDF,317458,38.1744,-85.736,501,-4,-5,America/New_York,United States,Louisville,USW00093821,0.5709711164723184,11.0,10.0,10.0,10.0,10.0,10.0,5.0
MCO,1863274,28.42939949,-81.30899811,96,-4,-5,America/New_York,United States,Orlando,USW00012815,1.9317041799346168,9.0,8.0,8.0,8.0,8.0,8.0,4.0
