Object,URL,Last_Modified,Timestamp,Size,Page
LCD_ACL000BARA9_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_ACL000BARA9_2021.csv,2 months ago,2024/8/10 6:36,4 MB,1
LCD_ACW00011647_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_ACW00011647_2021.csv,2 months ago,2024/8/10 6:36,5 MB,1
LCD_AEI0000OMAA_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMAA_2021.csv,2 months ago,2024/8/10 6:36,5 MB,1
LCD_AEI0000OMAD_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMAD_2021.csv,2 months ago,2024/8/10 6:35,4 MB,1
LCD_AEI0000OMAL_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMAL_2021.csv,2 months ago,2024/8/10 6:36,5 MB,1
LCD_AEI0000OMDB_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMDB_2021.csv,2 months ago,2024/8/10 6:35,5 MB,1
LCD_AEI0000OMDL_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMDL_2021.csv,2 months ago,2024/8/10 6:36,31 KB,1
LCD_AEI0000OMFJ_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMFJ_2021.csv,2 months ago,2024/8/10 6:36,9 MB,1
LCD_AEI0000OMLW_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMLW_2021.csv,2 months ago,2024/8/10 6:36,59 KB,1
LCD_AEI0000OMSJ_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AEI0000OMSJ_2021.csv,2 months ago,2024/8/10 6:36,5 MB,1
LCD_AFA00409781_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AFA00409781_2021.csv,2 months ago,2024/8/10 6:36,96 KB,1
LCD_AFI0000OAHR_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AFI0000OAHR_2021.csv,2 months ago,2024/8/10 6:36,2 MB,1
LCD_AFI0000OAIX_2021.csv,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2021/LCD_AFI0000OAIX_2021.csv,2 months ago,2024/8/10 6:35,2 MB,1
